category,text,dset,scores
covid,wood team member tested positive for covid-19 while working from home a wood team member experienced mild signs and symptoms associated with covid 19 and was seen and tested by his health care provider. the employee received a positive test result. team member reported to hsse recommendations were send to the team member by hsse,ORGP,1
dropped object or material,"caught in running equipment or machinery during regular operation on march 13, 2017, an employee was operating a cnc machine and was loading a 2-foot pup joint into the chuck spindle. the pipe dropped in the back, resulting in the pipe coming up in the front. the employee's right hand was located inside the pipe and was smashed between the pipe and the chuck of the machine. ppe was not worn at the time of the incident.",OSHA,2
"general injury, fall from or working at height issue, lifting or moving loads, competency","ip suffered tendon injury to his right shoulder while moving scaffold material that had been returned from site. ip reported the discomfort the day after the incident and attended his gp where he received diagnosis and a prescription for medication. when questioned about the incident, the ip said that he did think that there were any additional factors that impacted the incident. the operation of moving the materials is fairly routine and an operation that the ip has performed the task each week since he started on the site. the injury have been caused by over-reaching / over-loading, the ip said that he did try to move four scaffold tubes at the same time. ip had not yet received his manual handling training due to delay in scheduling by p&o. ip should not have been given these tasks to do before he had received the training. the incident occurred in the scaffold yard and weather conditions were dry with no wind.",MANF,2
"hand or arm injury, vehicle incident general","three amec foster wheeler vehicles were travelling on a road for site visit in a convoy, one following other and 2 cars collided  the three vehicles pulled away on close convoy from a parked location adjacent the future marjan gosp and travelled no more than twenty meters when car three hit car two on the rear right hand side and, having swerved to avoid a collision damaged the car three front left hand side.the accident occurred at a speed bump at speeds no higher than 10 km /hour, car two was virtually at a standstill at the speed bump. there were no injuries to personnel. the accident was duly reported to the police and to the amecfw transport supervisor. incident reported to saudi traffice authority (najm)",ORGP,2
"near miss, competency","small-scale scaffold collapse on the north of the site, nobody injured, near-miss. on investigation it transpired that the scaffold had been erected by an unqualified team who did not have the required certification to erect the scaffold structure. ",MANF,1
"competency, foot or leg injury","a young and inexperienced site worker was using a circular saw to cut plywood on site on friday morning. the saw had its protective latch/cover removed to speed up the cutting of the plywood on site. while cutting the boards, that platform that was being used collapsed on one side causing the worker to loose his balance and fall to the ground with the saw. the spinning disc of the saw caused a cut in the knee of the worker. the worker was treated with first aid before being transported to accident and emergency department of james's hospital for treatment. he received 20 stitches for the wound and was discharged home.",MANF,1
hand or arm injury,"mtc; veolia (walters); crush right index & middle finger; ks-2017-0012 ip was tasked with installing infill structural steel.  after lowering i-beam into place with a chainfall, ip reached under beam with gloved right hand to remove nut from bolt style lifting lug.  while doing so, i-beam shifted pinching ip's right hand middle and index fingers against another piece of the structure.   work stopped and scene frozen.  ip was taken to onsite medic clinic for assessment but referred to local hospital where ip received sutures to right index finger before being released to regular duties.  further details pending investigation findings.",ORGP,1
"general injury, slips & trips, foot or leg injury","fall on same level, left shoulder and knee bruise employee was transporting equipment down a set of steep stairs. it was unlit, however another employee had the light directed down the stairs. ip either missed the last step or slipped forward on some debris.  ip fell and impacted the wall with left shoulder and left knee. knee and shoulder are sore and likely slightly bruised.  internal reporting initiated, workcare contacted, self care chosen.",ORGP,1
"general injury, vehicle incident general","nonroadway collision with object other than vehicle, n.e.c. an employee was driving down an aisle in a powered industrial truck. the truck hit some racking and a pallet on the rack struck the employee. the employee suffered a broken hip and was hospitalized.",OSHA,1
"vehicle incident general, lifting or moving loads","employee struck by falling tree branches the client’s site manager was filling in for an on-site excavator supporting our geotechnical test pit program, who was acting carelessly, rushing and agitated.  excavator operator knocked over a poplar tree toward our employee that resulted in a minor scratch to his face from a branch.  this incident led to a verbal argument the following day with our field technician, which led to him leaving the site.  based on discussions with the client, it was agreed to suspend work until the next phase.",ORGP,2
"vehicle incident general, slips & trips, foot or leg injury","fall on same level, n.e.c.  a usps mail carrier was walking to a resident's door with a heavy parcel. as the carrier moved from the side of a carport to reach the front porch, the parcel hit the top of the carport. the carrier fell backward and suffered a broken right fibula, tibia, and ankle.",OSHA,1
hand or arm injury,"caught in running equipment or machinery, unspecified an employee's left hand was caught in a rolling mill. two-thirds of the employee's middle and ring fingers were amputated.",OSHA,1
hand or arm injury,reciprocating saw cuts right thumb injured person was using a reciprocating saw to cut reinforcing bar.  when his right thumb was lacerated.  the laceration required 3 sutures to close.  employee was released back to work.  incident is still under investigation. employee was taken to local hospital for treatment.  scene of accident was secured and investigation is on-going.,ORGP,1
lifting or moving loads,"while rotating the crane to refuel, the counterweight from the crane lightly touched the scaffolding r-103. after the set-up of the crane in final position a truck with gasoline arrived at the location in order to refuel the crane. at the moment the truck arrived the rigger was outside the unit to pick up his safety harness. in order to refuel the crane the crane had to be rotated. during this rotating / movement the counterweight of the crane lightly touched the scaffolding r-103. while the rigger was looking for a safety harness the crane operator decided to rotate the crane without presence of the rigger and/or spotter. activities suspended for field investigation.",ORGP,1
hand or arm injury,"compressed or pinched by shifting objects or equipment an employee was helping to remove a belt from a pulley attached to a fan used in the ginning process. while moving the belt manually, his finger got pinched between the belt and pulley, partially amputating his right pinky fingertip.",OSHA,1
"fire, burns","nonstructural fire, n.e.c. an employee was branding a tire. a piece of rubber came away from the tire and remained on the branding iron. when the employee flung the burning piece of rubber onto the floor, it caught rags on the floor on fire and the employee suffered burns to the left lower leg.",OSHA,1
"hand or arm injury, knife incident, fall from or working at height issue, foot or leg injury",employee was washing dishes and cut left thumb on knife. non work related. migrated from legacy cairs incident #33689employee (operator) was washing dishes and cut his left thumb on a knife. received 1st aid treatment from field medic. returned to work. this is a 4 man platform with no galley cooks. this is an operator not a galley hand or cook. migrated from legacy cairs - see detailed description,ORGP,2
"covid, fall from or working at height issue","wood employee and a partner contractor resulted positive during the pre mobilization rt-pcr test the shallow water platform crew was in the acacia hotel for a seven(7) day quarantine before mobilization. on the 7th day, the crew underwent rt-pcr test as required by the client.  1 wood and 1 contractor partner turned out positive and was not allowed not allowed to mobilize with the group.  both ips were informed by our oh doctor and was advised to stay in the quarantine hotel for another 10 days. local government was informed for their documentation as well as  the client for their flight cancellation. oh team will be in close monitoring for the 2 ips. ",ORGP,2
"hand or arm injury, slips & trips",caught in running equipment or machinery during regular operation an employee was operating a press brake when his hand slipped into the jaw resulting in fractures to four fingers.,OSHA,1
hand or arm injury,"struck by rolling object or equipment being pushed by injured worker while pushing a wheel caster with a cart, an employee ran into another piece of equipment. this created a pinch point between the employee's hand and the equipment, resulting in a left fifth fingertip amputation.",OSHA,1
fall from or working at height issue,"container door opened during supply vessel deck operations migrated from legacy cairs incident #32131prior toback loading container cm 2293 onto the vessel highland guardian (4100052747) the container was checked, closed and tagged prior to lifting onto vessel.the container was then lifted from the deck to the supply vessel and during this process the container was being positioned on the vessel deck (other back load containers were already in place). it is assumed that whilst positioning the container the door securing bracket had twisted open.as the positioning was in progress the vessel master informed the crane op that he thought the door has sprung open when landed. the crane op instructed the vessel master and deck crew that he would lift the container and move so that the vessel deck crew could check the container doors.the container was lifted slightly off the vessel deck and moved to a suitable position on the deck (approx. 6 feet away from it's original position) and then lowered down until there was slack within the bridle. the crane was never unhooked from the container. the vessel crew then closed the door and made secure and then instructed the crane op that the container could be placed back into the original position. on completion the crane hook un hooked and normal supply vessel operations continued. migrated from legacy cairs - see detailed description",ORGP,2
hand or arm injury,"compressed or pinched by shifting objects or equipment an employee was operating a mechanical punch press when their left hand was crushed by the press, resulting in a finger amputation.",OSHA,1
hand or arm injury,"compressed or pinched by shifting objects or equipment on february 27, 2020, at approximately 6:40am, an employee was unhooking a load of galvanized steel from a crane when his right pinky finger was caught between the hook and the galvanized steel crushing the fingertip. the employee was hospitalized for surgery to remove the crushed fingertip.",OSHA,1
