category,text,dset,scores
"hazardous materials or work, competency","a compressed asbestos fibrous gasket attached to a flange face was identified in the workshop following an inspection and subsequent intervention by the hot work team lead. a risk assessment was completed for the planned hot work activity and the flange was in the workshop for the repair of a crack.  in preparation for the welding repair of the crack, the flange was moved from the workshop entrance to the back walls by one welder using a forklift truck. the welder may have been exposed to asbestos when his clothing contacted the gasket.   the flange had been removed from service several days prior by the mechanical team. the welder had not attended any asbestos familiarisation training prior to the exposure. a review shall be conducted of the training status of all welders on site. an awareness briefing shall be held next week on site to remind all workshop crews to be aware of asbestos and the dangers of exposure.",MANF,1
foot or leg injury,"a minibus driver was driving a minibus from accomodation camp to the facilities and get out off the road. no any injury and damages occured migrated from legacy cairs incident #30359a minibus while driving from the accomodation camp (sicim) to the operations facilities, 30 km far,got off the road at 06:15 a.m.no any injury and damages occured migrated from legacy cairs - see detailed description",ORGP,3
"vehicle incident general, slips & trips, foot or leg injury",part of occupantís body caught between vehicle and other object in nonroadway transport incident an employee was operating a walkie rider device when she lost her footing and smashed her foot between a column and the device. it clamped down on her foot and lacerated her toes.,OSHA,1
weather related issue,exposure to environmental heat an employee was not feeling well and was sweating heavily. the employee was admitted to the hospital for treatment of heat related illness.,OSHA,1
"slips & trips, foot or leg injury, competency, fall from or working at height issue","employee partially fell through rooflight while performing inspection scraping his ankle and leg.  the employee was not using the available fall arrest system while performing the  inspection. after investigation, it became clear that the employee had not received the correct training in how to recognise fall hazards and dangers or to properly use safety equipment. ",MANF,1
"head or face injury, foot or leg injury, general injury",minor abrasion to left side of forehead migrated from legacy cairs incident #39869at approx. 8:20am on sunday 7th october a wood employee struck the left side of their forehead while ducking under low steel work causing the skin to break and requiring minor first aid treatment.the ip was returning to the flotel to collect more gas monitors when the usual path was blocked by a barrier as there was work going on overhead. the ip took an alternative route through a narrowed area requiring him to duck under some steel work. as the ip stood back up he struck the left side of his forehead on the steel work causing the skin to break.the ip was wearing his hard hat and full ppe at the time. migrated from legacy cairs - see detailed description,ORGP,1
hand or arm injury,"part of occupantís body caught between vehicle and other object in nonroadway transport incident an employee was operating a forklift inside the warehouse. his right hand was outside the lift when it was smashed between the lift and some warehouse racking shelves, resulting in partial amputations to his right middle and ring fingers.",OSHA,1
hazardous materials or work,"potential exposure to asbestos migrated from legacy cairs incident #30222the task was to remove an 8 inch hazardous drains discharge pipe spool and valve. this was carried out on 16/03/2016 wcc 207890. whilst the task was being carried out it was noted that the asbestos procedure (hse-pro-tlm-024) was not being adhered to in regards to the required ppe.wp consisted of operator , pipefitter and two riggers. the tbt was carried out by the aforementioned party and was subsequently signed off at 07:05 by the wp carrying out the task the ra included asbestos ( inc caf joints ) . to break into the spool the wp had to go up scaffold to break containment and record lsa and norm readings which were between normal parameters. the wp did not adhere to the asbestos procedure prior to breaking containment of wearing the appropriate ppe which was on site.. ppe worn was a face mask but no disposable coveralls. whilst breaking into the drain the caf gasket was not noted to be present. after the norm and benzene checks were completed the rigging team started to remove the spool whereupon the residuals from the spool were deposited in the module. the pipefitter along with the riggers then proceeded to clean up the affected area . it was only then that a caf gasket was noted to be present . due to this residual spill , the ppe on site was damaged and unwearable.the oim was on a walkabout on the platform and discovered the situation . it became apparent that the asbestos procedure was not being adhered to . the job was then completed with the appropriate procedures in place. the queried asbestos gasket was then adequately bagged and put into safe storage. sample taken and to be sent to the beach for analysis.the riggers were employed by dsl and the pipefitter who was also the pa was a wgpsn employee. discussions were held with dsl hse manager to ensure consistency and the dsl investigation report provided, see attached. the wgpsn pipefitter / pa also came into the office on the 4th may for a discussion and coaching with construction and hse. it was agreed that no disciplinary action was required. migrated from legacy cairs - see detailed description",ORGP,2
"vehicle incident general, lifting or moving loads, foot or leg injury","struck or run over by rolling powered vehicle an employee was changing out a forklift's propane tank. the forklift moved and struck the employee, breaking the employee's fibula.",OSHA,1
"vehicle incident general, hand or arm injury","pedestrian struck by vehicle in nonroadway area, unspecified an employee was caught between a cart and a powered industrial vehicle while bending down. the vehicle's handle pinned the employee's left arm against the cart, breaking the arm and wrist.",OSHA,1
hand or arm injury,struck by or caught in swinging door or gate an employee's hand was caught in a door jamb. the employee's left ring fingertip was amputated.,OSHA,1
"head or face injury, slips & trips, back injury","fall on same level due to slipping  an employee was entering a dormitory room to repair a leaking sink when he slipped and fell, injuring his head and back.",OSHA,1
"slips & trips, general injury","other fall to lower level less than 6 feet while stepping off a ladder, an employee missed the last rung and lost his balance. he fell to the ground and landed on the left side of his body. he was hospitalized with a fractured hip.",OSHA,1
hand or arm injury,"caught in running equipment or machinery, unspecified an employee was checking an ice machine when his hand came in contact with an ice auger, lacerating his left thumb and fracturing his index finger.",OSHA,1
competency,"a subcontractor working under direct supervision, was performing survey duties along the proposed service route. while performing her duties, she climbed down into an open excavation. the excavation was new and still under construction, i.e., no benching/shoring had been installed in the location. once she was spotted by workers in the area, she was asked to climb out of the excavation. the risk of working within that excavation without the required shoring had not been properly understood by the subcontractor. there was a clear lack of basic safety training and awareness. the issue will be taken up with the subcontractor management and hse leadership team.",MANF,1
"vehicle incident general, lifting or moving loads, head or face injury, back injury","struck by falling object or equipment, n.e.c. an employee was attempting to install a load beam inside a trailer to support the freight when the freight fell off and struck him, amputating his left ear and lacerating his back. he was hospitalized and required surgery.",OSHA,1
covid,wood employee tested positive to covid-19 wood employee underwent to swab which resulted positive to covid-19 the employee is in quarantine as per local legislation.negative swab is requested before returning in office.no more action required.,ORGP,1
vehicle incident general,"while stopped at a red light, wood ee's vehicle was struck from behind by another vehicle.  on april 14, 2020 at 4:10 pm, an ee was on his way home, after leaving the office in conroe, tx, when his vehicle was struck from behind by another driver while stopped at a red light. the impact caused a small dent above the hitch on the wood truck.  ee notified management to report the incident. ",ORGP,1
hand or arm injury,"struck against moving part of machinery or equipment an employee was attempting to cut a 6"" diameter core on a chop saw when his right upper arm contacted the saw blade and was severely lacerated.",OSHA,1
"vehicle incident general, lifting or moving loads, vehicle Incident involving animal","struck by object falling from vehicle or machinery-other than vehicle part on october 16, 2017, at approximately 3:30 pm, a cat-line was attached to a cable to raise up a rig floor. an employee was attempting to un-pin the floor to remove it when the cable snapped and the floor fell on the employee, striking him in the back and pinning him for approximately 10 seconds. he fractured his spine.",OSHA,2
"slips & trips, foot or leg injury","fall on same level, n.e.c.  while walking, an employee side-stepped and fell, breaking his leg.",OSHA,1
hand or arm injury,"team leader cut thumb whilst cutting tail of a 40mm pe pipe the team leader experienced difficulty in inserting a 40mm pe pipe into a 2"" steel pipe due to blockage. therefore, the next step, using a hacksaw would be to 'chamfer' the end of the pe pipe for ease of insertion and in doing so cut his thumb. the team leader attended local a&e, had the wound cleaned, bandaged and given pain relief.",ORGP,1
"foot or leg injury, fall from or working at height issue, general injury",other fall to lower level 16 to 20 feet an employee fell 16-17 feet from an aerial lift to the ground and suffered a fractured left femur and shoulder. the employee was hospitalized.,OSHA,1
general injury,"exposure to harmful substance through skin, eyes, or other exposed tissue, unspecified the injured employee was working the 2nd shift (2:30pm - 11:00pm) packaging bags of lime (material). the employee's arms came in contact with the lime.  he was later hospitalized.",OSHA,2
