index,text,group,scores
134,a flow line ruptured releasing hydraulic fluid from an element while operating a crane onto a piece of framing it ignited causing a flash fire that was immediately controlled and spill was cleaned up incident 34475on thursday october twenty two thousand and seventeen at dow freeport a wind turbine was being installed on the rear deck of the crane approximately twenty-five gallons of hydraulic oil leaked from the compressor the equipment had been moving the wind pack and the tower boom in preparation for the start of operation the operator was raising the boom when he heard a pop from a hose the incident has been classified as a failed hydraulic connection see detailed description,hydraulic fluid or oil leak,1
2361,apprentice seen spill tray and tray of sand an employee was filling a hydraulic leak on a tray when a line ruptured filling the tray spill kit was placed under the line and spilled some sand onto the ground nearby a mechanic was able to help dispense the sand and sand using the spill kits a bucket was put over the machine to catch any sand grains that may be on the plant when it is cleaned up per client protocol see detailed description,hydraulic fluid or oil leak,1
740,spill was identified by two of the personnel on site contaminated material had subsequently leaked out of a fitting on a jlg equipment at the rotator yard the leaked hydraulic fluid began to leak to grade incident 38397spills have been identified spilt on the ground at rotating yard and wg is working to control the spread of these leaks see detailed description,hydraulic fluid or oil leak,1
1557,operator was backing pipe to concrete when his right hand was caught between the wheel and the chain causing a laceration,hydraulic fluid or oil leak,1
6485,subcontractor discovered loss of containment of absorbent pad when releasing a gallon of hydraulic oil during an operations spill cleanup the plant was isolated until a thirdparty arrived to investigate the issue all plant were inspected and the affected area was fully remediated subcontractor notified spill response protocol protocol was initiated per client protocols see detailed description,hydraulic fluid or oil leak,1
4615,employee discovered discharge of oil from hose on backhoe,hydraulic fluid or oil leak,2
1349,"crew observed hydraulic hose burst hydraulic oil from equipment near a pipe fitting on january twelve two thousand and nineteen an employee was operating a pump truck one the crane operator observed a hydraulic line protruding from a hose fitting the leaking hose was quickly contained and cleaned up per client protocols incident 39764at approximately one thousand, eight hundred and ten hrs on two hundred the two million, one hundred pm at dow freeport a crew was tasked on finishing their work the equipment operator and his immediate supervisor were notified of the leak the spill was reported and mechanical team immediately initiated spill response efforts the area was cleaned per protocol equipment was isolated and equipment removed from site the operator was taken to the hospital where surgery was performed for the esophagus",hydraulic fluid or oil leak,2
4445,crew witnessed loss of hydraulic fluid on completion of siemens project and discovered hydraulic oil leaking from skidsteer onto the concrete surface crew immediately stopped the operation and contaminated soil was cleaned with absorbent pads and disposed of properly investigation initiated,hydraulic fluid or oil leak,3
2342,apprentice seen loss of oil from pump due to running during maintenance cleaning approx one gallon has dripped to grade from hose incident 39717approx two gallons leaked from the pump on february eleven two thousand and nineteen at around three hundred and thirty pm at boom freeport united rentals approx two hundred gallons of hydraulic oil had leaked to the grade apprximately one hundred plus the oil spill was due out to a minor oil leak from a hose leak during the maintenance clean up the leak is contained by utilizing a pump attachment and a spill kit material spill pads are available onhand for you to inspect the hose and include with note if any oil drips to it see detailed description,hydraulic fluid or oil leak,3
6192,operative spotted loss of fluids while performing a prework task at a wood owned workshop the operator heard a hydraulic leak coming from the exhaust pipe the pipe was immediately shut and the technician was taken to the paramedic by vehicle to assess the incident the leak was quickly controlled and a plan was in place to contain it all so no release to native soil contaminated materials were removed from site and disposed of using a licensed waste carrier the spill was contained and cleared contaminated material was removed and put into the hazmat bags,hydraulic fluid or oil leak,2
1157,contractor noticed a small leak in the hydraulic hose of a truck while performing construction inspection there was an oil leak on the boom trailer during the inspections there were a total of six oil leaks on any boom that had a visible leak the oil was filtered using absorbent pads and properly disposed of immediately the leak was cleaned up per client protocol incident 36471the boom was repaired onsite on thursdaythursdayam at seven hundred pm there has been an ongoing investigation of the incident by workshop personnel who were on site for the repair see detailed description,hydraulic fluid or oil leak,1
5000,employee was loss of hydraulic fluid to grade due to an overpressure in the hydraulic hose of the scissor lift when the worker stepped over the injured hydraulic line and fell to the ground sustaining five broken ribs,hydraulic fluid or oil leak,1
7213,technician found drip from hose on a jlg truck while carrying out transport of spoil t he excavator was operating at the pad f during the transport the operator used a forklift to gain access to the access point on the jrhe plant the fork lifts then broke releasing the hydraulic oil the injured employee sustained lacerations to his face and a punctured lung and required hospitalization,hydraulic fluid or oil leak,1
5113,employee witnessed drip to grade incident 33652a t12 t9084 excavator experienced a hydraulic hose failure resulting in approx 05l of hydraulic fluid being released to gradewhen wood employees notified operations frontline two thousand and sixteen immediately began spill response and cleaned up spill pads area and spill tray with spill kit investigation initiated,hydraulic fluid or oil leak,1
2439,apprentice spotted spillage from pipework onto pipe while completing lift on saturday january 15th at nine hundred and forty-five a maintenance employee was completing a lift from the lift that was being utilized at two hundred block a to b when an oil leak was identified by the spotter the spill was stopped immediately and spill kits were placed on the ground the employee then went to the nearby spill kit section for further disposal and clean up,hydraulic fluid or oil leak,1
7424,technician seen drip tray leak from a hose fitting on gimbal causing a small drip of hydraulic fluid to leak to grade employee received two broken ribs,hydraulic fluid or oil leak,1
6137,operative seen loss of containment hydraulic hose while operating a forklift operator noticed a leak on a hydraulic line approximately forty-five litres was contained utilizing spill kits and spill kit material from the spill pads on site client notified operations and area was cleaned per client protocols incident 32394at approximately one thousand and fifty a boom truck operator saw a hose fail on hydraulic lines approximately twenty-two litres of hydraulic fluid was being released to the surrounding area the operator called client to report see detailed description,hydraulic fluid or oil leak,1
4956,employee spotted spill from equipment on the way out the machine while leaving the work area when the spill was discovered employee stopped immediately and alerted his supervisor and company mechanic were notified,hydraulic fluid or oil leak,1
1558,operator was transferring concrete from wood to imported concrete in sx crane yard when the crane was being unloaded the operator heard an unfamiliar sound and stopped the job and parked his or her crane approximately five feet away from the main load the crew started carrying out the transfer of the concrete the driver and the equipment operator then noticed the leak from underneath the engine oil pan the supervisor was notified and it was cleaned up per client protocols spill pads and tray were brought to the scene where it is thought to have occurred a mechanic was called to fix the machine the oil leak was immediately reported to crane safety who took note of it the mechanic did not respond to client protocol incident,hydraulic fluid or oil leak,1
3855,cleaner witnessed drip of fluid on excavator site while removing spoil on site excavating the excavated soil was covered in sand and sand absorbent pads were used to clean contaminated material removed to skip site for disposal employee cleaned up contaminated waste material immediately and disposed of as hazardous waste by utilizing waste containment material onsite,hydraulic fluid or oil leak,1
