category,text,dset,scores
vehicle incident general,"an employee was backing a vehicle when he came in contact with another vehicle that had parked in a no parking zone.  minor damage to the vehicle. migrated from legacy cairs incident #34792on wednesday, october 18, 2017 at 5:00 pm at dow freeport an civil employee was backing a vehicle when he came in contact with another vehicle that had parked in a no parking zone. minor damage to the vehicle. migrated from legacy cairs - see detailed description",ORGP,1
lifting or moving loads,"mewp impacted rear end of escort vehicle (van) resulting in damage to tailgate. migrated from legacy cairs incident #31416lngp: at 0910, mewp was being escorted by van back to maintenance via the road. mewp distance between escort vehicle approximately 3m. escort slowed down to warn other traffic of mewp. mewp operator was checking vehicle traffic behind at the same time. mewp operator on realizing too close to escort vehicle went to stop however did not stop in time. knuckle part of the boom contacted the tailgate of the escort vehicle. tailgate of escort vehicle damaged. no injuries sustained. stand down for safety held withbetween all wg site management and wg construction workforceafter the incidentinvestigation underway migrated from legacy cairs - see detailed description",ORGP,2
"hand or arm injury, fall from or working at height issue","struck by object or equipment, unspecified an employee was on the roof (new two story house) fixing an incorrectly installed metal flashing. as he was lifting the metal flashing to add a peel stick, a roof drip edge flashing came out of its box and landed on his left hand, resulting in the amputation of his left middle finger from the first joint.",OSHA,1
"covid, disease or infection",a wood employee tested positive for covid 19 during premobilization screening.  a wood employee tested positive for covid 19 during premobilization screening. ee is asymptomatic and returned home for quarantine. no contact tracing required.  ee instructed to return home and quarantine. ,ORGP,1
"slips & trips, foot or leg injury","subcontractor ee walking across dcs room, bumped unsecured hole cover with foot, stepping into open hole. subcontractor employee was walking through de-watering building dcs room when he bumped an unsecured cover protecting a floor penetration intended for cable access with his foot causing the plywood cover to slide from over the opening, and tripped into the open cable access floor penetration scraping his shin and bumping his right knee on the edge of the opening. the cable penetration cover was not secured or labeled correctly. cable access penetration was immediately secured and the permanent equipment was installed to prevent reoccurrence. investigation as to who installed the cover and why it was not secured properly is still ongoing. a stand-down was held with electrical crew involved. event will be discussed with all site employees at all hands meeting tomorrow (12/5/2017) morning. a memo addressing proper covers and other life critical topics is being drafted for distribution to all employees.",ORGP,1
"slips & trips, general injury","fall on same level due to tripping, unspecified an employee tripped while turning and fell to the floor, suffering a broken hip.",OSHA,1
"slips & trips, general injury","other fall to lower level less than 6 feet an employee was standing on a pipe railing that was approximately 2 feet high while he was cleaning out a fertilizer blender. he slipped off of the rail and fell, resulting in three broken ribs and a possible punctured lung.",OSHA,1
"slips & trips, general injury","fall on same level due to tripping over self an employee tripped over his feet while vacuuming and fell, landing on and breaking his right hip. he was hospitalized and had surgery.",OSHA,1
"hand or arm injury, slips & trips, fall from or working at height issue, head or face injury","other fall to lower level, unspecified an employee was standing on a rolling safety ladder/platform, testing a machine that had been assembled. he fell to the floor, hitting his head, breaking his jaw on the left side, and suffering broken fingers on his left hand.",OSHA,1
hand or arm injury,metal flashing on pallet caught finger and resulted in cut to right index finger. firstaid applied & ip returned back to work with full duty ip was tucking tarp under wooden pallet. backside of right hand index finger brushed against metal flashing on pallet outside of glove protective coating (cut resistant). minor cut sustained to backside of right hand index finger. incident reported immediately to site supervision. basic first aid applied and ip returned back to work with full duties.  first aid administered to ip immediately. client notified. duty officer notification sent out.,ORGP,1
hand or arm injury,caught in running equipment or machinery during regular operation an employee was attaching an air hose to the discharge area of an inserter machine. the engage button was bumped and the air pressure engaged the clamp which shut on his right middle finger amputating the fingertip.,OSHA,1
covid,"wood employee was in monitoring pre-embark to ppm-1, performed the covid-19 test  and the result was positive. wood employee was in monitoring pre-embark to ppm-1, performed the covid-19 test  and the result was positive. the ip is asymptomatic. the worker is asymptomatic. the ip received guidance from the nursing technician regarding the necessary care and will be sent home for quarantine period.",ORGP,1
hand or arm injury,"whilst lifting a stone onto a dry stone wall, ip broke the tip of his finger. the crossaig office site is being reinstated back to its original state. whilst lifting a stone onto a dry stone wall the a&a foreman got his finger trapped and broke the tip of his finger, resulting in medical treatment - sutures required. all worked was stopped and ip was driven to hospital at campbeltown.",ORGP,1
"slips & trips, foot or leg injury","fall on same level due to slipping  on july 28, 2020, an employee was doing housekeeping at the end of his shift. as he walked across the work area after emptying a trash can, he slipped in oil and fell, suffering a left ankle injury that required hospitalization and surgery.",OSHA,1
"hand or arm injury, fall from or working at height issue","compressed or pinched by shifting objects or equipment an employee was using a forklift to stack two boxes when her right hand was caught between a box and the forklift forks, resulting in a right index finger amputation.",OSHA,2
"fall from or working at height issue, foot or leg injury","part of occupantís body caught between vehicle and other object in nonroadway transport incident an employee was operating a stand-up forklift when he ran into a guard railing. he struck and injured his knee, requiring hospitalization.",OSHA,2
"hand or arm injury, slips & trips","caught in running equipment or machinery, unspecified an employee was monitoring a mud pump and slipped on a slick surface. while bracing for a fall, the employee contacted a belt and pulley on a pump. his right middle finger was lacerated just above the first knuckle and the fingertip had to be surgically amputated.",OSHA,1
"fall from or working at height issue, general injury",other fall to lower level 11 to 15 feet  an employee fell from the leading edge of a 15-foot-high roof to the ground. the employee suffered broken ribs.,OSHA,1
"slips & trips, eye injury or irritation","foreign debris in eye wood e&i technician (iw) was helping to install cable into an overhead cable tray when he bumped his head on an overhead object. when the worker looked up to see what he had bumped into, grit/debris fell from the cable tray onto the bridge of his nose, some of which entered the corner of his left eye. the iw subsequently attended site first aid where the grit was flushed out and the iw returned to work. the iw was wearing a hard hat with sun brim and clear safety glasses at the time. worker attended first aid where grit was flushed out. hse advisor liaised with e&i supervisor and spoggles or mono goggles mandated for crew working on that task.",ORGP,2
"hand or arm injury, fall from or working at height issue, general injury","other fall to lower level, unspecified an employee fell from a truck to a lower level while moving a fuel hose, suffering a fractured hip and arm injury. the employee had surgery.",OSHA,1
mechanical or equipment issue,the auxiliary handle on a corded power drill broke off from drill body while in use. no injuries or damage involved. the employee inspected the drill prior to use and had all appropriate ppe on at time of incident. migrated from legacy cairs incident #39859the employee was using a corded power drill to drill holes in floor tiles when the auxiliary handle broke off. no injuries or damage occurred and employee removed the drill from service. the employee completed an inspection of the drill prior to use and was wearing the appropriate ppe for the job. migrated from legacy cairs - see detailed description,ORGP,1
"hazardous materials or work, competency","caught in running equipment or machinery during maintenance, cleaning  employees were exposed to caught-between hazards while cleaning the patty-maker machine in the grinding room of the meat department due to lack of training on lock-out/tag-out procedures.",OSHA,1
"slips & trips, foot or leg injury","ip tripped and hit his right knee against the concrete edge slab. a group of workers were working in the pump shelter area to replace a drainage pipe when a pump on auto mode started up suddenly, producing a loud pitch sound. the ip who was working near the pump, was shocked and left the work area in a hurry. his left foot got stuck underneath a valve and he tripped and hit his right knee against the concrete edge slab. the ip suffered a cut on his right knee. he was brought to the pier medical centre where he was given some stitches and medication. first aid was conducted to the ip and brought to the pier medical centre for treatment.",ORGP,1
"fall from or working at height issue, competency, line strike","a work crew excavating ground at the front of the site with a 6t excavation machine struck a buried 300mm underground storm pipe. the line strike caused the discharge of a large volume of water to excavated and adjoining area. the crew did not seek an underground services map for the area before commencing the work. the crew did not use a service tracker or perform a high-level evaluation of the site for existing services / storm routes / manholes, etc. the crew were relatively inexperienced and were operating in the area without senior oversight. recommend tool-box talk and safety briefing on the importance of following the correct procedures and protocols when excavating ground. provide 'safety moment' material from other incidents where line strike caused significant injuries or outages for use during the briefing sessions. overall awareness and competency for performing such dangerous work tasks should be improved. follow-up consultation planned for may-18.",MANF,2
hand or arm injury,"struck by swinging part of powered vehicle an employee was washing the back of a dump truck. the latches for the back gate were stuck closed, and the employee lifted them up to allow the gate to close. the gate closed and pinched his right middle finger, causing an amputation to the fingertip.",OSHA,1
near miss,"near miss by moving a live emergency shutdown switch on sunday june 23rd at 11:00 am it was reported at drillsite 2 module 4911 fire and gas project that an esd (emergency shut down switch) box beside the entry door on the west side had been unbolted and moved then secured the day before at approx. 1330. it was discovered by the bp qa assigned to the project. the contractor’s construction lead and general foreman looked the area over and thought that the esd box was going to be demo’ed after the new fire and gas system was operating and the box was in the way for the new cable coming down the wall that needed to be routed into the new halon manual pull station that has been installed as part of the new fire and gas system. they called the drill site operator and told him what they had planned to do, and the operator gave his approval. the operator and crew talked about moving the esd out of the way during the morning toolbox talk and the precautions that needed to be taken if they did move the box but did not document it on the permit. the red box containing the esd is not getting replaced as part of the new system and was mis-identified by the construction lead. there was no potential to harm people but there was potential for the drill site to be shut down. esd box was reinstalled in its previous location.",ORGP,1
covid,two members of contractor project team tested positive for covid-19 workers arrived on site between feb 2-6. these positives were detected by the regular pcr swabs taken on days 5-7. isolation initiated.,ORGP,1
foot or leg injury,"fall from collapsing structure or equipment 6 to 10 feet an employee was riding an elevator up to the 5th floor when the elevator suddenly stopped and jerked, falling about 6 feet and tossing the employee to the floor. he broke his right leg in three places.",OSHA,2
"hand or arm injury, slips & trips",injured by slipping or swinging object held by injured worker an employee hurt his finger while using a screwdriver to perform electrical work.,OSHA,1
"hand or arm injury, general injury","worker bumped elbow on steel support resulting in small bruise.  no treatment case worker: abel rei (blaster/painter) – wood employee. work area: hgcp – area 600 – eqr task. narrative:  a worker was removing bolts using a spanner in a tight space in area 600, hgcp. he was applying force to the nut using an under-hand technique - pulling towards his body - when the bolt loosened dynamically. the workers arm continued in the direction of the pull and his elbow impacted a vertical steel support.   note: the spanner did not slip from the nut itself.       actions: the worker immediately reported the event to his supervisor and was brought to the hse coordinator. •	client advised. •	taken to the clinic for assessment: no breaking of the skin, slight discolouration to impact area on tip of elbow. •	outcome – no treatment case (ntc). worker to resume normal duties and return to clinic if discomfort continues. •	client advised of outcome.   ip taken to clinic for assessment.  ",ORGP,1
covid,a wood employee tested positive for covid-19.  a wood employee received a positive covid-19 test result on 3/1/2021.  the wood employee was experiencing symptoms and scheduled a covid 19 test which was a positive result.  contact tracing has been completed. the employee has self quarantined and has notified management.  wood on site management has conducted contact tracing and notification to client.  ,ORGP,1
foot or leg injury,"a worker placing concrete forms bumped his shin with a hammer resulting in discomfort in his shin. first aid event. migrated from legacy cairs incident #33999a worker was swinging a hammer in the process of building concrete formwork. as he swung up, the hammer contacted the string line then contacted his shinthe contact with the hammer resulted in discomfort in his shin. axiom medical was contacted and first aid measures were administered. migrated from legacy cairs - see detailed description",ORGP,1
"hand or arm injury, general injury","exposure through intact skin, eyes, or other exposed tissue the injured employee was in the process of spraying a tacky solution onto the conveyor belt of a dump truck when his arm got caught and he received skin burns/abrasions on his left forearm and left hand. he was admitted to the hospital and had an incision to relieve the swelling.",OSHA,1
"lifting or moving loads, fall from or working at height issue, foot or leg injury, vehicle incident general","nonroadway collision with other vehicle, unspecified while traveling on a walkie stacker, an employee struck a coworker's forklift and suffered a left leg injury.",OSHA,2
